Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,double LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB_1,double LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB_1,58.289716,-54.467673,0.0,top
D2,double LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB_1,double LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB_1,58.296284,-75.580327,180.0,top
D3,double LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB_1,double LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB_1,87.416,-75.566,180.0,top
D4,double LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB_1,double LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB_1,87.245716,-54.467673,0.0,top
D5,double LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB_1,double LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB_1,113.922284,-87.236327,180.0,top
D6,double LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB_1,double LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB_1,113.915716,-66.123673,0.0,top
D7,double LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB_1,double LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB_1,148.939432,-75.64806,180.0,top
D8,double LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB_1,double LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB_1,148.932864,-54.535406,0.0,top
D9,double LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB_1,double LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB_1,175.487166,-64.092907,180.0,top
D10,double LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB_1,double LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB_1,175.480598,-42.980253,0.0,top
D11,double LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB_1,double LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB_1,204.471194,-63.998626,180.0,top
D12,double LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB_1,double LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB_1,204.464626,-42.885972,0.0,top
D13,double LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB_1,double LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB_1,233.430401,-64.211751,180.0,top
D14,double LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB_1,double LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB_1,233.423833,-43.099097,0.0,top
D15,double LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB_1,double LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB_1,227.938509,-95.559505,180.0,top
D16,double LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB_1,double LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB_1,227.931941,-74.446851,0.0,top
D17,double LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB_1,double LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB_1,198.775462,-95.579147,180.0,top
D18,double LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB_1,double LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB_1,198.768894,-74.466493,0.0,top
D19,double LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB_1,double LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB_1,169.932285,-95.55484,180.0,top
D20,double LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB_1,double LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB_1,169.925717,-74.442186,0.0,top
D21,double LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB_1,double LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB_1,143.327972,-106.683502,180.0,top
D22,double LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB_1,double LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB_1,143.321404,-85.570848,0.0,top
D23,double LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB_1,double LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB_1,131.523522,-140.149305,180.0,top
D24,double LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB_1,double LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB_1,131.516954,-119.036651,0.0,top
R1,1k,R_0402_1005Metric,121.65,-43.6,-90.0,top
R2,10k,R_0402_1005Metric,118.0,-36.4,0.0,top
R3,27,R_0402_1005Metric,132.7,-40.7,-90.0,top
R4,27,R_0402_1005Metric,133.78,-40.7,-90.0,top
R5,1k,R_0402_1005Metric,131.4,-54.15,90.0,top
R6,5.1k,R_0402_1005Metric,142.15,-34.05,180.0,top
R7,5.1k,R_0402_1005Metric,146.55,-34.5,-90.0,top
SW1,KEY-SMD_4P-L6.0-W6.0-P4.50-LS9.0,KEY-SMD_4P-L6.0-W6.0-P4.50-LS9.0,57.912,-39.624,90.0,top
SW2,KEY-SMD_4P-L6.0-W6.0-P4.50-LS9.0,KEY-SMD_4P-L6.0-W6.0-P4.50-LS9.0,67.782,-39.676,90.0,top
SW3,KEY-SMD_4P-L6.0-W6.0-P4.50-LS9.0,KEY-SMD_4P-L6.0-W6.0-P4.50-LS9.0,77.75,-39.75,90.0,top
SW4,KEY-SMD_4P-L6.0-W6.0-P4.50-LS9.0,KEY-SMD_4P-L6.0-W6.0-P4.50-LS9.0,90.75,-39.75,90.0,top
SW5,KEY-SMD_4P-L6.0-W6.0-P4.50-LS9.0,KEY-SMD_4P-L6.0-W6.0-P4.50-LS9.0,100.75,-39.75,90.0,top
SW6,KEY-SMD_4P-L6.0-W6.0-P4.50-LS9.0,KEY-SMD_4P-L6.0-W6.0-P4.50-LS9.0,110.75,-39.75,90.0,top
SW7,Kailh_socket_PG1350_reversible,Kailh_socket_PG1350_reversible,58.224097,-65.049933,0.0,bottom
SW8,Kailh_socket_PG1350_reversible,Kailh_socket_PG1350_reversible,87.326667,-65.178465,0.0,bottom
SW9,Kailh_socket_PG1350_reversible,Kailh_socket_PG1350_reversible,113.923702,-76.509677,0.0,bottom
SW10,Kailh_socket_PG1350_reversible,Kailh_socket_PG1350_reversible,148.867245,-65.117666,0.0,bottom
SW11,Kailh_socket_PG1350_reversible,Kailh_socket_PG1350_reversible,175.414979,-53.562513,0.0,bottom
SW12,Kailh_socket_PG1350_reversible,Kailh_socket_PG1350_reversible,204.399007,-53.468232,0.0,bottom
SW13,Kailh_socket_PG1350_reversible,Kailh_socket_PG1350_reversible,233.358214,-53.681357,0.0,bottom
SW14,Kailh_socket_PG1350_reversible,Kailh_socket_PG1350_reversible,227.866322,-85.029111,0.0,bottom
SW15,Kailh_socket_PG1350_reversible,Kailh_socket_PG1350_reversible,198.703275,-85.048753,0.0,bottom
SW16,Kailh_socket_PG1350_reversible,Kailh_socket_PG1350_reversible,169.860098,-85.024446,0.0,bottom
SW17,Kailh_socket_PG1350_reversible,Kailh_socket_PG1350_reversible,143.255785,-96.153108,0.0,bottom
SW18,Kailh_socket_PG1350_reversible,Kailh_socket_PG1350_reversible,131.451335,-129.618911,0.0,bottom
U1,TLV73333PDBV,SOT-23-5,143.4,-42.25,180.0,top
U2,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,124.05,-38.3,0.0,top
U3,RP2040,RP2040-QFN-56,131.85,-47.4,0.0,top
U4,SOT-353_SC-70-5,SOT-353_SC-70-5,121.666,-61.214,180.0,top
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-Assembly,145.0,-24.5,180.0,top
Y1,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,130.75,-57.25,-90.0,top
